id,supplier,item,description,cost,status,date
REQ87397,CrowdStrike Inc,Tanium + Microsft 365 E5 + Zscaler Internet Access,"As part of our cloud security strategy, the acquisition of Tanium is being processed via CrowdStrike Inc. This initiative includes additional modules for Zscaler Internet Access, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255150.87,DRAFT,2024-02-12
REQ54118,CC,Tanium Endpoint + Microsoft E5,"Procurement of Tanium is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",182694.79,CANCELLED,2024-06-25
REQ35203,Microsoft Corp,Z$caler IA + Microsft 365 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Z$caler IA. This purchase, processed via Microsoft Corp, will complement our existing deployment of TaniumMgmt and ensure coverage for 3813 users in Americas. Budget reallocation approved by the CISO on 2024-08-23.",387668.83,DRAFT,2024-04-21
REQ44993,CrowdStrike Inc,Z$caler IA + Wiz Defend,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",269399.24,PENDING,2023-12-01
REQ45093,CC,Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of WizCld. This purchase, processed via CC, will complement our existing deployment of CrowdStrike Falcon and ensure coverage for 2261 users in Americas. Budget reallocation approved by the CISO on 2023-04-25.",110250.14,ORDERED,2025-03-21
REQ28131,WWT,Tanium + Microsft 365 E5 + Z$caler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of WizDefnd and ensure coverage for 1220 users in APAC. Budget reallocation approved by the CISO on 2025-05-27.",84191.09,ORDERED,2023-05-11
REQ54587,CC,WizCld + Cisco FP-2100,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Cl0ud. This purchase, processed via CC, will complement our existing deployment of Z$caler IA and ensure coverage for 4931 users in APAC. Budget reallocation approved by the CISO on 2023-08-23.",229593.23,CANCELLED,2025-10-22
REQ10074,Cisco Systems,Zscaler Internet Access + WizCld + O365 E5,"As part of our cloud security strategy, the acquisition of Z$caler IA is being processed via Cisco Systems. This initiative includes additional modules for Cisco FP-2100, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",123528.89,PENDING,2023-06-11
REQ37760,WWT,O365 E5 + Zscaler IA,"As part of our cloud security strategy, the acquisition of MS 365 E5 is being processed via WWT. This initiative includes additional modules for Wiz Cl0ud, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",497598.93,CANCELLED,2025-06-16
REQ38864,WWT,Wiz Defnd + Microsoft E5,"Procurement of Wiz Defnd is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with TaniumMgmt to improve overall coverage in EMEA.",118326.18,DRAFT,2024-11-07
REQ22363,Wiz Inc,MS 365 E5 + Zscaler IA,"Annual renewal and capacity expansion of Microsft 365 E5 for Americas teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Cisco FP2K licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",214671.42,ORDERED,2023-04-21
REQ34050,CrowdStrike Inc,Tanium + WizCld + CrowdStrike Falcon,"Procurement of Tanium Endpoint is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with CrowdStrike EDR to improve overall coverage in APAC.",30041.22,DRAFT,2023-07-11
REQ61173,Wiz Inc,Zscaler IA + Wiz Cl0ud + Cisco FP2K,"Annual renewal and capacity expansion of Zscaler Internet Access for APAC teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Microsft 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",81624.43,CANCELLED,2024-03-21
REQ20500,Microsoft Corp,M i c r o s o f t 3 6 5 E5 + CrowdStrike Falcon,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",339230.21,PENDING,2025-04-06
REQ51467,Wiz Inc,Microsft 365 E5 + Firepower 2K series + WizCld,"As part of our cloud security strategy, the acquisition of M i c r o s o f t 3 6 5 E5 is being processed via Wiz Inc. This initiative includes additional modules for Z$caler IA, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",69784.75,CANCELLED,2025-07-25
