id,supplier,item,description,cost,status,date
REQ10851,CrowdStrike Inc,T@n1um + MICROSFT 365 E5 + Z $ c a l e r   I A,"Historical systems such as WizShield will be phased out in favour of newer solutions. This order is intended to strengthen defences in the Americas region and includes provisions for both TANIUMMGMT and ZSCALER INTERNET ACCESS. As part of our strategic initiative for FY2023, CrowdStrike Inc has been engaged to address recent audit findings. Technical integration will be performed in Q2, with expected go-live by 2023-10-13. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",380609.65,PENDING,2025-05-15
REQ20458,Tanium Inc,C i s c o   F P 2 K + TaniumMgmt + M_i_c_r_o_s_o_f_t_3_6_5_E5,"This order is intended to strengthen defences in the EMEA region and includes provisions for both FIREPOWER 2K SERIES and O 3 6 5   E 5. Technical integration will be performed in Q1, with expected go-live by 2025-02-17. Historical systems such as WizShield will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2023, Tanium Inc has been engaged to address recent audit findings.",428382.27,DRAFT,2025-02-17
REQ62581,WWT,C1sc0 FP-2100 + tanium endpoint + Tanium ™,"This order is intended to strengthen defences in the EMEA region and includes provisions for both appliance de seguridad and ZSCALER INTERNET ACCESS. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q2, with expected go-live by 2024-06-30. As part of our strategic initiative for FY2024, WWT has been engaged to address recent audit findings. Historical systems such as WizShield will be phased out in favour of newer solutions.",137531.73,PENDING,2024-10-06
REQ65333,WWT,CS F@lc0n + TANIUM + W i z D e f n d,"Technical integration will be performed in Q3, with expected go-live by 2023-10-13. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. This order is intended to strengthen defences in the Americas region and includes provisions for both 端点安全 and Firepower 2K series ™. As part of our strategic initiative for FY2023, WWT has been engaged to address recent audit findings.",300222.47,ORDERED,2025-02-20
REQ80697,Cisco Systems,Wiz_Defnd + Z$c@ler IA,"This order is intended to strengthen defences in the APAC region and includes provisions for both wizdefnd and zscaler internet access. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q1, with expected go-live by 2024-06-30. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, WWT has been engaged to address recent audit findings.",476982.38,DRAFT,2024-10-25
REQ80686,Microsoft Corp,W1z Cl0ud + taniummgmt,"As part of our strategic initiative for FY2023, Microsoft Corp has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q1, with expected go-live by 2024-05-08. Historical systems such as WizShield will be phased out in favour of newer solutions. This order is intended to strengthen defences in the APAC region and includes provisions for both cloud posture management and taniummgmt.",378856.27,PENDING,2024-09-30
REQ27342,Zscaler Inc,Wiz Cloud ™ + M1cr0s0ft E5 + C S   F a l c o n,"As part of our strategic initiative for FY2023, Zscaler Inc has been engaged to address recent audit findings. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q2, with expected go-live by 2024-04-05. This order is intended to strengthen defences in the Americas region and includes provisions for both WIZ CL0UD and MICROSFT 365 E5. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",363059.52,ORDERED,2024-05-12
REQ19880,WWT,Zscaler IA ™ + O 3 6 5   E 5 + Cr0wdStr1ke EDR,"As part of our strategic initiative for FY2023, WWT has been engaged to address recent audit findings. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the EMEA region and includes provisions for both Z $ c a l e r   I A and Wiz Cl0ud ™. Technical integration will be performed in Q4, with expected go-live by 2024-12-26.",224349.72,DRAFT,2023-04-14
REQ17665,Microsoft Corp,tanium endpoint + wizcld,"This order is intended to strengthen defences in the EMEA region and includes provisions for both endpoint management platform and crowdstrik flacon. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. As part of our strategic initiative for FY2024, Microsoft Corp has been engaged to address recent audit findings. Technical integration will be performed in Q4, with expected go-live by 2025-09-12. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",291694.24,DRAFT,2024-10-04
REQ51180,Microsoft Corp,MICROSFT 365 E5 + T a n i u m M g m t,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2023, Microsoft Corp has been engaged to address recent audit findings. This order is intended to strengthen defences in the APAC region and includes provisions for both 套件 and crowdstrik flacon. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Technical integration will be performed in Q1, with expected go-live by 2024-01-16.",123149.55,ORDERED,2023-09-26
REQ23577,Tanium Inc,Tanium_Endpoint + microsft 365 e5 + CS FALCON,"Technical integration will be performed in Q4, with expected go-live by 2023-07-24. This order is intended to strengthen defences in the APAC region and includes provisions for both 端点管理系统 and O365 E5. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. As part of our strategic initiative for FY2023, Tanium Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",469770.35,PENDING,2024-06-25
REQ66057,CrowdStrike Inc,MS_365_E5 + C r o w d S t r i k e   F a l c o n,"Technical integration will be performed in Q2, with expected go-live by 2024-12-03. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2024, CrowdStrike Inc has been engaged to address recent audit findings. Historical systems such as WizShield will be phased out in favour of newer solutions. This order is intended to strengthen defences in the EMEA region and includes provisions for both licencia empresarial en la nube and Cisco_FP2K.",282648.9,DRAFT,2023-06-04
