id,supplier,item,description,cost,status,date,dataset_source,product_id,product_name,vendor_name,confidence,method
REQ87397,CrowdStrike Inc,Tanium + Microsft 365 E5 + Zscaler Internet Access,"As part of our cloud security strategy, the acquisition of Tanium is being processed via CrowdStrike Inc. This initiative includes additional modules for Zscaler Internet Access, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255150.87,DRAFT,2024-02-12,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ54118,CC,Tanium Endpoint + Microsoft E5,"Procurement of Tanium is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",182694.79,CANCELLED,2024-06-25,easy,,,,0,no_match
REQ35203,Microsoft Corp,Z$caler IA + Microsft 365 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Z$caler IA. This purchase, processed via Microsoft Corp, will complement our existing deployment of TaniumMgmt and ensure coverage for 3813 users in Americas. Budget reallocation approved by the CISO on 2024-08-23.",387668.83,DRAFT,2024-04-21,easy,,,,0,no_match
REQ44993,CrowdStrike Inc,Z$caler IA + Wiz Defend,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",269399.24,PENDING,2023-12-01,easy,5,Wiz Defend,Wiz,100,exact
REQ45093,CC,Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of WizCld. This purchase, processed via CC, will complement our existing deployment of CrowdStrike Falcon and ensure coverage for 2261 users in Americas. Budget reallocation approved by the CISO on 2023-04-25.",110250.14,ORDERED,2025-03-21,easy,4,Wiz Cloud,Wiz,100,exact
REQ28131,WWT,Tanium + Microsft 365 E5 + Z$caler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of WizDefnd and ensure coverage for 1220 users in APAC. Budget reallocation approved by the CISO on 2025-05-27.",84191.09,ORDERED,2023-05-11,easy,,,,0,no_match
REQ54587,CC,WizCld + Cisco FP-2100,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Cl0ud. This purchase, processed via CC, will complement our existing deployment of Z$caler IA and ensure coverage for 4931 users in APAC. Budget reallocation approved by the CISO on 2023-08-23.",229593.23,CANCELLED,2025-10-22,easy,4,Wiz Cloud,Wiz,100,exact
REQ10074,Cisco Systems,Zscaler Internet Access + WizCld + O365 E5,"As part of our cloud security strategy, the acquisition of Z$caler IA is being processed via Cisco Systems. This initiative includes additional modules for Cisco FP-2100, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",123528.89,PENDING,2023-06-11,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ37760,WWT,O365 E5 + Zscaler IA,"As part of our cloud security strategy, the acquisition of MS 365 E5 is being processed via WWT. This initiative includes additional modules for Wiz Cl0ud, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",497598.93,CANCELLED,2025-06-16,easy,4,Wiz Cloud,Wiz,100,exact
REQ38864,WWT,Wiz Defnd + Microsoft E5,"Procurement of Wiz Defnd is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with TaniumMgmt to improve overall coverage in EMEA.",118326.18,DRAFT,2024-11-07,easy,5 | 53 | 105,Wiz Defend | Wiz Edge | Wiz Code,Wiz,94,fuzzy
REQ22363,Wiz Inc,MS 365 E5 + Zscaler IA,"Annual renewal and capacity expansion of Microsft 365 E5 for Americas teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Cisco FP2K licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",214671.42,ORDERED,2023-04-21,easy,,,,0,no_match
REQ34050,CrowdStrike Inc,Tanium + WizCld + CrowdStrike Falcon,"Procurement of Tanium Endpoint is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with CrowdStrike EDR to improve overall coverage in APAC.",30041.22,DRAFT,2023-07-11,easy,,,,0,no_match
REQ61173,Wiz Inc,Zscaler IA + Wiz Cl0ud + Cisco FP2K,"Annual renewal and capacity expansion of Zscaler Internet Access for APAC teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Microsft 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",81624.43,CANCELLED,2024-03-21,easy,4 | 7,Wiz Cloud | Zscaler Internet Access,Wiz | Zscaler,100,exact
REQ20500,Microsoft Corp,M i c r o s o f t 3 6 5 E5 + CrowdStrike Falcon,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",339230.21,PENDING,2025-04-06,easy,,,,0,no_match
REQ51467,Wiz Inc,Microsft 365 E5 + Firepower 2K series + WizCld,"As part of our cloud security strategy, the acquisition of M i c r o s o f t 3 6 5 E5 is being processed via Wiz Inc. This initiative includes additional modules for Z$caler IA, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",69784.75,CANCELLED,2025-07-25,easy,,,,0,no_match
REQ42018,CrowdStrike Inc,Cisco FP2K + Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Cisco Firepower 2000 Series. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cloud and ensure coverage for 126 users in APAC. Budget reallocation approved by the CISO on 2025-11-02.",307780.49,DRAFT,2024-09-05,easy,3 | 4,Cisco Firepower 2000 Series | Wiz Cloud,Cisco | Wiz,100,exact
REQ93130,CrowdStrike Inc,Tanium Endpoint + Wiz Defend + Wiz Cloud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Cisco FP-2100 and ensure coverage for 1150 users in APAC. Budget reallocation approved by the CISO on 2024-07-11.",318970.8,CANCELLED,2023-04-01,easy,4 | 5,Wiz Cloud | Wiz Defend,Wiz,100,exact
REQ29536,Zscaler Inc,M i c r o s o f t 3 6 5 E5 + Wiz Cl0ud,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Microsoft E5 to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Zscaler Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",78306.42,PENDING,2023-03-27,easy,4,Wiz Cloud,Wiz,100,exact
REQ41029,Zscaler Inc,Cisco FP2K + CrowdStrike Falcon,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via Zscaler Inc also bundles Wiz Cl0ud licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",93783.53,CANCELLED,2025-04-23,easy,4,Wiz Cloud,Wiz,100,exact
REQ50001,Wiz Inc,Zscaler Internet Access + Crowdstrik Flacon,"Annual renewal and capacity expansion of Zscaler IA for EMEA teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",202240.66,CANCELLED,2023-05-23,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ44795,Tanium Inc,Z$caler IA + MS 365 E5,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",176115.12,CANCELLED,2025-06-12,easy,,,,0,no_match
REQ97900,CrowdStrike Inc,WizDefnd + Cisco Firepower 2000 Series,"As part of our cloud security strategy, the acquisition of Wiz Defnd is being processed via CrowdStrike Inc. This initiative includes additional modules for M i c r o s o f t 3 6 5 E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",474692.87,CANCELLED,2024-10-04,easy,3,Cisco Firepower 2000 Series,Cisco,100,exact
REQ26683,CrowdStrike Inc,TaniumMgmt + WizCld,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2510 users in Americas. Budget reallocation approved by the CISO on 2024-10-30.",340272.38,PENDING,2024-09-08,easy,4,Wiz Cloud,Wiz,100,exact
REQ72021,Microsoft Corp,Wiz Cloud + Zscaler IA,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Microsoft Corp, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in APAC.",260148.74,CANCELLED,2023-07-11,easy,4,Wiz Cloud,Wiz,100,exact
REQ69692,Wiz Inc,Zscaler Internet Access + TaniumMgmt + Wiz Defnd,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Wiz Inc. This initiative includes additional modules for CrowdStrike EDR, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",195069.34,ORDERED,2024-05-14,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ27477,Microsoft Corp,CS Falcon + Zscaler IA + TaniumMgmt,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",408428.22,ORDERED,2025-07-02,easy,,,,0,no_match
REQ67654,WWT,CS Falcon + Zscaler Internet Access,"Procurement of CS Falcon is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Wiz Defnd to improve overall coverage in APAC.",139498.98,CANCELLED,2023-06-15,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ64496,Cisco Systems,CrowdStrike EDR + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of CrowdStrike EDR. This purchase, processed via Cisco Systems, will complement our existing deployment of WizDefnd and ensure coverage for 1944 users in APAC. Budget reallocation approved by the CISO on 2023-05-12.",452895.05,DRAFT,2025-02-18,easy,,,,0,no_match
REQ13804,Microsoft Corp,Wiz Cl0ud + Cisco FP-2100 + WizDefnd,"Annual renewal and capacity expansion of WizCld for APAC teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles CS Falcon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",460173.1,DRAFT,2025-03-17,easy,4,Wiz Cloud,Wiz,100,exact
REQ37742,Microsoft Corp,WizDefnd + Firepower 2K series + Zscaler IA,"Annual renewal and capacity expansion of WizDefnd for Americas teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles O365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",129874.41,DRAFT,2025-08-21,easy,5,Wiz Defend,Wiz,88,fuzzy
REQ29973,Microsoft Corp,MS 365 E5 + Cisco Firepower 2000 Series,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Cisco FP-2100 to enhance layered security and comply with internal audit requirements.",284164.94,PENDING,2025-08-10,easy,3,Cisco Firepower 2000 Series,Cisco,100,exact
REQ98781,Tanium Inc,Tanium + Wiz Cl0ud + Crowdstrik Flacon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via Tanium Inc, will complement our existing deployment of Wiz Defend and ensure coverage for 3071 users in EMEA. Budget reallocation approved by the CISO on 2023-08-10.",55441.15,CANCELLED,2023-09-05,easy,4 | 5,Wiz Cloud | Wiz Defend,Wiz,100,exact
REQ65057,Microsoft Corp,Zscaler IA + MS 365 E5 + Wiz Cl0ud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Zscaler Internet Access. This purchase, processed via Microsoft Corp, will complement our existing deployment of Wiz Defnd and ensure coverage for 2894 users in Americas. Budget reallocation approved by the CISO on 2023-05-22.",80730.62,PENDING,2025-12-04,easy,4 | 7,Wiz Cloud | Zscaler Internet Access,Wiz | Zscaler,100,exact
REQ41963,Tanium Inc,TaniumMgmt + WizDefnd + Zscaler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium Endpoint. This purchase, processed via Tanium Inc, will complement our existing deployment of CrowdStrike Falcon and ensure coverage for 4458 users in APAC. Budget reallocation approved by the CISO on 2024-10-22.",19206.5,CANCELLED,2024-01-08,easy,,,,0,no_match
REQ63271,Wiz Inc,Wiz Cl0ud + Tanium Endpoint + CrowdStrike EDR,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Cloud to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",226846.4,DRAFT,2023-07-10,easy,4,Wiz Cloud,Wiz,100,exact
REQ82140,Wiz Inc,Firepower 2K series + WizCld + WizDefnd,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Cisco FP2K. This purchase, processed via Wiz Inc, will complement our existing deployment of TaniumMgmt and ensure coverage for 3362 users in Americas. Budget reallocation approved by the CISO on 2025-08-27.",119116.33,PENDING,2024-10-08,easy,,,,0,no_match
REQ33519,Cisco Systems,Microsft 365 E5 + CS Falcon + Tanium,"Procurement of O365 E5 is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in EMEA.",487275.99,CANCELLED,2023-09-16,easy,,,,0,no_match
REQ72616,WWT,Tanium Endpoint + MS 365 E5,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Tanium Endpoint to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via WWT, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Cisco FP-2100 to enhance layered security and comply with internal audit requirements.",41670.67,DRAFT,2023-11-07,easy,,,,0,no_match
REQ48974,Tanium Inc,CrowdStrike Falcon + Wiz Cl0ud + TaniumMgmt,"Annual renewal and capacity expansion of CrowdStrike EDR for EMEA teams is required to maintain defensive posture. This transaction via Tanium Inc also bundles Tanium Endpoint licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",54120.62,PENDING,2024-03-08,easy,4,Wiz Cloud,Wiz,100,exact
REQ48175,CrowdStrike Inc,Firepower 2K series + CS Falcon,"Annual renewal and capacity expansion of Cisco FP2K for EMEA teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles MS 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",352978.84,ORDERED,2023-05-26,easy,,,,0,no_match
REQ19359,Wiz Inc,Tanium Endpoint + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via Wiz Inc, will complement our existing deployment of Zscaler Internet Access and ensure coverage for 2217 users in Americas. Budget reallocation approved by the CISO on 2024-04-05.",222380.96,ORDERED,2024-09-14,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ42816,CC,Tanium + M i c r o s o f t 3 6 5 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CC, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2280 users in Americas. Budget reallocation approved by the CISO on 2023-03-23.",295625.85,DRAFT,2024-07-05,easy,4,Wiz Cloud,Wiz,100,exact
REQ55607,Microsoft Corp,Wiz Defnd + Cisco Firepower 2000 Series + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of WizDefnd to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Zscaler IA to enhance layered security and comply with internal audit requirements.",168252.81,ORDERED,2024-08-13,easy,3 | 7,Cisco Firepower 2000 Series | Zscaler Internet Access,Cisco | Zscaler,100,exact
REQ10150,CC,Tanium + Wiz Cl0ud + O365 E5,"Annual renewal and capacity expansion of TaniumMgmt for EMEA teams is required to maintain defensive posture. This transaction via CC also bundles Cisco Firepower 2000 Series licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",313203.77,ORDERED,2025-06-24,easy,3 | 4,Cisco Firepower 2000 Series | Wiz Cloud,Cisco | Wiz,100,exact
REQ30758,Microsoft Corp,Z$caler IA + WizDefnd + Microsoft E5,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Microsoft Corp. This initiative includes additional modules for Microsoft E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",116226.83,DRAFT,2025-08-03,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ82255,Cisco Systems,Microsft 365 E5 + Wiz Defnd,"Procurement of MS 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in Americas.",256579.24,PENDING,2023-05-23,easy,5,Wiz Defend,Wiz,90,fuzzy
REQ68529,CC,Cisco FP2K + WizCld + Zscaler IA,"Annual renewal and capacity expansion of Cisco FP-2100 for Americas teams is required to maintain defensive posture. This transaction via CC also bundles TaniumMgmt licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",435452.83,PENDING,2025-02-23,easy,,,,0,no_match
REQ14852,CC,CS Falcon + Tanium,"Procurement of CrowdStrike EDR is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Z$caler IA to improve overall coverage in APAC.",437724.24,ORDERED,2023-07-24,easy,,,,0,no_match
REQ62098,WWT,Wiz Defnd + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Defnd. This purchase, processed via WWT, will complement our existing deployment of WizCld and ensure coverage for 175 users in Americas. Budget reallocation approved by the CISO on 2023-06-03.",477299.1,ORDERED,2023-03-15,easy,5 | 53 | 105,Wiz Defend | Wiz Edge | Wiz Code,Wiz,94,fuzzy
REQ49251,CrowdStrike Inc,WizDefnd + Microsoft E5,"Annual renewal and capacity expansion of Wiz Defend for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles Microsoft E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",150217.05,CANCELLED,2025-06-01,easy,5,Wiz Defend,Wiz,100,exact
REQ75230,Wiz Inc,CrowdStrike EDR + Firepower 2K series,"As part of our cloud security strategy, the acquisition of Crowdstrik Flacon is being processed via Wiz Inc. This initiative includes additional modules for Tanium Endpoint, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",232487.4,DRAFT,2025-08-10,easy,,,,0,no_match
REQ36111,Cisco Systems,Cisco FP-2100 + WizDefnd + M i c r o s o f t 3 6 5 E5,"Annual renewal and capacity expansion of Firepower 2K series for APAC teams is required to maintain defensive posture. This transaction via Cisco Systems also bundles Zscaler IA licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",182684.78,CANCELLED,2024-08-27,easy,,,,0,no_match
REQ91381,CC,Microsoft E5 + Z$caler IA + Cisco Firepower 2000 Series,"Procurement of Microsft 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in EMEA.",157921.78,ORDERED,2023-03-10,easy,3,Cisco Firepower 2000 Series,Cisco,100,exact
REQ79579,Zscaler Inc,WizDefnd + CS Falcon + Firepower 2K series,"As part of our cloud security strategy, the acquisition of WizDefnd is being processed via Zscaler Inc. This initiative includes additional modules for Crowdstrik Flacon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",403095.11,ORDERED,2023-06-04,easy,5,Wiz Defend,Wiz,88,fuzzy
REQ58311,Wiz Inc,CS Falcon + Tanium + Wiz Defnd,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Wiz Cl0ud to enhance layered security and comply with internal audit requirements.",120741.84,DRAFT,2024-11-02,easy,4,Wiz Cloud,Wiz,100,exact
